Year,County,All_Births(Number),First_Births(Number),Births_within_Marriage(Number),Births_outside_Marriage(Number),Average_Age_ of_Mother(Years),Average_Age_of_First_TimeMother(Years)
1986,Limerick County,1969,,1895,74,30,
1986,North Tipperary,1079,,1008,71,30.1,
1986,South Tipperary,1291,,1197,94,29.2,
1986,Tipperary,,,,,,
1986,Galway City,670,,579,91,29,
1986,Leitrim,429,,416,13,31.1,
1986,Mayo,1939,,1879,60,30.4,
1986,Roscommon,832,,813,19,30.6,
1986,Sligo,980,,922,58,30.2,
1986,Galway County,2445,,2341,104,30.2,
1986,Cavan,963,,932,31,29.9,
1986,Donegal,2358,,2182,176,29.5,
1986,Monaghan,919,,894,25,29.5,
1986,Outside the ROI Total,,,,,,
1987,ROI Total,58433,,52086,6347,29.4,26.2
1987,Dublin City,6890,,4944,1946,28,
1987,Fingal,2990,,2771,219,29.5,
1987,Dun Laoghaire Rathdown,2426,,2067,359,29.9,
1987,South Dublin,4239,,3766,473,29.3,
1987,Wicklow,1766,,1556,210,28.9,
1987,Carlow,748,,683,65,28.6,
1987,Kildare,2314,,2143,171,29.7,
1987,Kilkenny,1264,,1148,116,29.7,
1987,Laois,846,,779,67,29.2,
1987,Longford,530,,499,31,30.2,
1987,Louth,1476,,1316,160,29,
1987,Meath,1788,,1665,123,29.7,
1987,Offaly,1018,,955,63,29.3,
1987,Westmeath,1101,,1007,94,29.3,
1987,Wexford,1849,,1620,229,28.7,
1987,Waterford County,758,,691,67,29.8,
1987,Waterford City,605,,487,118,28.1,
1987,Clare,1470,,1369,101,30.2,
1987,Cork City,1816,,1533,283,28.7,
1987,Cork County,4843,,4570,273,30.2,
1987,Kerry,1806,,1701,105,30.3,
1987,Limerick City,824,,646,178,27.5,
1987,Limerick County,1847,,1764,83,30,
1987,North Tipperary,994,,949,45,30.2,
1987,South Tipperary,1292,,1154,138,29.3,
1987,Tipperary,,,,,,
1987,Galway City,783,,677,106,29.3,
1987,Leitrim,410,,401,9,30.7,
1987,Mayo,1832,,1766,66,30.3,
1987,Roscommon,810,,786,24,30.5,
1987,Sligo,858,,790,68,30.1,
1987,Galway County,2246,,2149,97,30.5,
1987,Cavan,877,,822,55,29.8,
1987,Donegal,2269,,2100,169,29.5,
1987,Monaghan,848,,812,36,29.8,
1987,Outside the ROI Total,,,,,,
1988,ROI Total,54600,,48117,6483,29.5,26.4
1988,Dublin City,6717,,4751,1966,28,
1988,Fingal,2886,,2645,241,29.8,
1988,Dun Laoghaire Rathdown,2429,,2038,391,29.7,
1988,South Dublin,3897,,3379,518,29.3,
1988,Wicklow,1619,,1379,240,29,
1988,Carlow,779,,699,80,29,
1988,Kildare,2134,,1920,214,29.3,
1988,Kilkenny,1160,,1063,97,29.6,
1988,Laois,791,,743,48,29.8,
1988,Longford,484,,445,39,29.9,
1988,Louth,1336,,1182,154,28.8,
1988,Meath,1642,,1527,115,29.9,
1988,Offaly,868,,830,38,29.3,
1988,Westmeath,1050,,955,95,29.6,
1988,Wexford,1686,,1469,217,28.9,
1988,Waterford County,788,,707,81,29.7,
1988,Waterford City,560,,455,105,28.5,
1988,Clare,1308,,1205,103,30.3,
1988,Cork City,1758,,1464,294,28.5,
1988,Cork County,4380,,4141,239,30.3,
1988,Kerry,1700,,1600,100,30.3,
1988,Limerick City,784,,615,169,28,
1988,Limerick County,1742,,1631,111,29.9,
1988,North Tipperary,887,,821,66,30,
1988,South Tipperary,1103,,983,120,29.1,
1988,Tipperary,,,,,,
1988,Galway City,505,,430,75,29,
1988,Leitrim,353,,346,7,31.2,
1988,Mayo,1705,,1641,64,30.8,
1988,Roscommon,708,,679,29,30.8,
1988,Sligo,816,,745,71,29.9,
1988,Galway County,2323,,2195,128,30.4,
1988,Cavan,848,,804,44,30.2,
1988,Donegal,2100,,1911,189,29.5,
1988,Monaghan,754,,719,35,30,
1988,Outside the ROI Total,,,,,,
1989,ROI Total,52018,16994,45347,6671,29.6,26.3
1989,Dublin City,6462,2739,4497,1965,28.1,25.3
1989,Fingal,2712,860,2462,250,30.1,27.3
1989,Dun Laoghaire Rathdown,2383,957,2020,363,30.2,27.3
1989,South Dublin,3730,1159,3138,592,29.2,26
1989,Wicklow,1588,546,1367,221,29.2,26
1989,Carlow,679,183,622,57,29.2,25.5
1989,Kildare,1924,669,1729,195,29.8,26.7
1989,Kilkenny,1114,350,1019,95,30.2,26.7
1989,Laois,798,218,744,54,29.6,26.2
1989,Longford,445,123,414,31,30.5,27.8
1989,Louth,1256,439,1069,187,28.9,25.3
1989,Meath,1574,462,1443,131,30.3,26.6
1989,Offaly,817,235,761,56,29.3,25.8
1989,Westmeath,997,322,895,102,29.5,26.1
1989,Wexford,1597,507,1397,200,29.1,25.4
1989,Waterford County,752,249,681,71,29.8,26.3
1989,Waterford City,607,213,471,136,28.3,24.3
1989,Clare,1328,405,1228,100,30.4,27.3
1989,Cork City,1790,631,1450,340,28.6,25.4
1989,Cork County,4195,1314,3891,304,30.3,27
1989,Kerry,1640,486,1519,121,30.4,27
1989,Limerick City,740,275,555,185,27.7,23.9
1989,Limerick County,1637,479,1537,100,30.5,27.3
1989,North Tipperary,822,247,754,68,30.2,26.9
1989,South Tipperary,1106,325,1000,106,29.5,26.1
1989,Tipperary,,,,,,
1989,Galway City,523,177,456,67,29.2,26.8
1989,Leitrim,355,98,342,13,31,27.7
1989,Mayo,1529,391,1455,74,30.9,27.1
1989,Roscommon,635,172,613,22,31.1,28.1
1989,Sligo,774,233,706,68,30.4,27.1
1989,Galway County,2081,575,1963,118,30.7,27.4
1989,Cavan,799,233,753,46,30.2,27.1
1989,Donegal,1935,541,1749,186,29.8,25.5
1989,Monaghan,694,181,647,47,29.9,26.2
1989,Outside the ROI Total,,,,,,
1990,ROI Total,53044,17738,45277,7767,29.6,26.3
1990,Dublin City,6518,2763,4393,2125,28.3,25.5
1990,Fingal,2768,976,2457,311,29.8,27.2
1990,Dun Laoghaire Rathdown,2493,1004,2103,390,30.1,27.3
1990,South Dublin,3710,1172,3096,614,29.3,26.2
1990,Wicklow,1642,557,1377,265,29.1,26.1
1990,Carlow,676,229,599,77,28.9,25.7
1990,Kildare,2128,753,1880,248,29.7,26.5
1990,Kilkenny,1127,361,1025,102,30,26.9
1990,Laois,749,217,688,61,29.9,26.4
1990,Longford,479,131,440,39,29.8,24.9
1990,Louth,1342,421,1134,208,29.1,25.5
1990,Meath,1604,505,1430,174,30.2,26.5
1990,Offaly,876,269,790,86,29,25
1990,Westmeath,967,334,841,126,29.3,26
1990,Wexford,1637,527,1382,255,29,25.2
1990,Waterford County,780,250,677,103,29.8,26
1990,Waterford City,591,226,449,142,28.1,24.9
1990,Clare,1342,406,1188,154,30.4,27.1
1990,Cork City,1862,689,1459,403,28.6,25.5
1990,Cork County,4122,1359,3781,341,30.3,27.1
1990,Kerry,1653,547,1509,144,30.2,27
1990,Limerick City,865,329,610,255,27.8,24
1990,Limerick County,1711,472,1575,136,30.2,26.8
1990,North Tipperary,870,255,782,88,30.2,26.6
1990,South Tipperary,1062,334,893,169,29,25.4
1990,Tipperary,,,,,,
1990,Galway City,739,253,629,110,30,27
1990,Leitrim,323,80,315,8,32,29
1990,Mayo,1570,391,1481,89,30.9,27
1990,Roscommon,667,177,636,31,31.2,28.3
1990,Sligo,789,233,724,65,30.6,27.1
1990,Galway County,1953,570,1827,126,30.6,27.3
1990,Cavan,827,198,783,44,30.7,27
1990,Donegal,1909,558,1675,234,29.9,25.2
1990,Monaghan,693,192,649,44,29.9,26
1990,Outside the ROI Total,,,,,,
1991,ROI Total,52718,18130,43806,8912,29.6,26.3
1991,Dublin City,6782,2777,4393,2389,28.3,24.5
1991,Fingal,2832,497,2452,380,30,24.9
1991,Dun Laoghaire Rathdown,2673,576,2227,446,30.3,25.4
1991,South Dublin,3676,907,2933,743,29.4,24.7
1991,Wicklow,1572,360,1309,263,29.4,24.3
1991,Carlow,652,148,542,110,29.1,24.4
1991,Kildare,2155,404,1858,297,29.6,24.1
1991,Kilkenny,1063,206,918,145,29.9,24.5
1991,Laois,773,126,681,92,29.6,23.3
1991,Longford,446,69,403,43,30.2,24.1
1991,Louth,1309,360,1030,279,28.4,23.5
1991,Meath,1598,265,1412,186,30.2,24.2
1991,Offaly,816,131,735,81,29.6,23.2
1991,Westmeath,954,196,816,138,29.5,23.1
1991,Wexford,1668,348,1408,260,29.3,23.2
1991,Waterford County,827,193,688,139,29.3,23.9
1991,Waterford City,509,187,359,150,27.9,23.6
1991,Clare,1247,209,1106,141,30.4,24.8
1991,Cork City,1564,477,1173,391,28.7,24.1
1991,Cork County,4422,690,3989,433,30.4,24.8
1991,Kerry,1614,315,1422,192,30.2,24.6
1991,Limerick City,769,276,538,231,27.4,23
1991,Limerick County,1629,279,1444,185,30.2,24.2
1991,North Tipperary,885,147,791,94,30,24.1
1991,South Tipperary,1025,223,864,161,29.3,23.6
1991,Tipperary,,,,,,
1991,Galway City,619,162,499,120,29.2,24.3
1991,Leitrim,318,29,305,13,31.7,26.3
1991,Mayo,1545,217,1429,116,30.8,24
1991,Roscommon,678,87,631,47,31.1,25.2
1991,Sligo,784,121,705,79,30.6,24
1991,Galway County,1964,286,1796,168,30.5,24.4
1991,Cavan,773,107,706,67,30.3,23.7
1991,Donegal,1879,388,1606,273,29.4,23.3
1991,Monaghan,698,103,638,60,30.4,23.9
1991,Outside the ROI Total,,,,,,
1992,ROI Total,51089,17864,41878,9211,29.7,26.4
1992,Dublin City,6687,2858,4308,2379,28.4,25.6
1992,Fingal,2564,894,2188,376,30.2,27.3
1992,Dun Laoghaire Rathdown,2414,973,2007,407,30.6,28.2
1992,South Dublin,3509,1209,2772,737,29.4,26.3
1992,Wicklow,1577,563,1260,317,29.4,26.4
1992,Carlow,665,208,569,96,29.7,25.9
1992,Kildare,2097,794,1743,354,29.5,26.6
1992,Kilkenny,1046,307,911,135,30.1,26.8
1992,Laois,670,210,573,97,29.4,25.8
1992,Longford,413,130,360,53,30,25.6
1992,Louth,1259,421,1024,235,29.1,25.8
1992,Meath,1505,475,1326,179,30.5,26.9
1992,Offaly,845,267,724,121,29.5,26
1992,Westmeath,954,326,811,143,29.3,25.5
1992,Wexford,1586,580,1263,323,28.8,25.2
1992,Waterford County,808,303,681,127,29.6,26.7
1992,Waterford City,495,182,362,133,28.1,24.9
1992,Clare,1260,383,1109,151,30.8,27.2
1992,Cork City,1613,614,1219,394,28.6,25.8
1992,Cork County,4201,1464,3743,458,30.3,27.1
1992,Kerry,1577,487,1377,200,30.4,26.6
1992,Limerick City,758,323,476,282,27.4,24
1992,Limerick County,1643,508,1464,179,30.5,27.2
1992,North Tipperary,863,269,740,123,30.2,26.4
1992,South Tipperary,1004,359,809,195,29.2,25.7
1992,Tipperary,,,,,,
1992,Galway City,746,275,593,153,29.6,26.4
1992,Leitrim,332,87,316,16,31.3,28
1992,Mayo,1463,433,1338,125,30.7,27.1
1992,Roscommon,603,172,552,51,31.3,27.3
1992,Sligo,746,233,649,97,30.5,26.8
1992,Galway County,1937,557,1749,188,30.9,27.3
1992,Cavan,767,238,692,75,30.6,26.8
1992,Donegal,1771,547,1539,232,29.7,25.5
1992,Monaghan,711,215,631,80,30,25.6
1992,Outside the ROI Total,,,,,,
1993,ROI Total,49304,17330,39478,9826,29.8,26.6
1993,Dublin City,6562,2913,3961,2601,28.4,25.9
1993,Fingal,2539,896,2140,399,30.3,27.5
1993,Dun Laoghaire Rathdown,2298,867,1890,408,30.9,28.2
1993,South Dublin,3440,1217,2669,771,29.6,26.7
1993,Wicklow,1520,542,1205,315,29.7,26.6
1993,Carlow,616,199,500,116,29.3,25.9
1993,Kildare,2019,729,1685,334,29.9,27
1993,Kilkenny,996,306,869,127,30.6,27.5
1993,Laois,667,209,573,94,30.3,26.5
1993,Longford,397,110,343,54,29.9,26.1
1993,Louth,1181,397,925,256,29.2,25.3
1993,Meath,1480,473,1259,221,30.4,26.7
1993,Offaly,791,241,675,116,29.8,25.9
1993,Westmeath,991,327,819,172,29.6,26.3
1993,Wexford,1469,510,1177,292,29.1,25.7
1993,Waterford County,701,240,568,133,29.6,26.3
1993,Waterford City,554,196,363,191,28.2,25.3
1993,Clare,1252,418,1064,188,30.3,26.7
1993,Cork City,1581,627,1091,490,28.8,25.5
1993,Cork County,4114,1409,3597,517,30.5,27.6
1993,Kerry,1438,458,1233,205,30.4,26.7
1993,Limerick City,669,289,415,254,27.7,24.7
1993,Limerick County,1652,568,1461,191,30.4,27.5
1993,North Tipperary,852,256,726,126,30.3,26.3
1993,South Tipperary,962,315,789,173,29.8,27.1
1993,Tipperary,,,,,,
1993,Galway City,683,269,540,143,29.7,26.5
1993,Leitrim,282,72,257,25,31.8,27.7
1993,Mayo,1314,365,1178,136,31,27.5
1993,Roscommon,552,162,508,44,31.4,28.3
1993,Sligo,719,236,605,114,30.7,27.3
1993,Galway County,1846,535,1658,188,30.9,27.3
1993,Cavan,732,226,662,70,30.6,27.6
1993,Donegal,1790,539,1513,277,29.4,25.4
1993,Monaghan,645,214,560,85,29.6,25.6
1993,Outside the ROI Total,,,,,,
1994,ROI Total,48255,17009,38206,10049,29.9,26.8
1994,Dublin City,6278,2676,3803,2475,28.7,26.2
1994,Fingal,2782,1022,2301,481,30.2,27.5
1994,Dun Laoghaire Rathdown,2533,936,2125,408,31.1,28.6
1994,South Dublin,3143,1069,2333,810,29.3,26.3
1994,Wicklow,1492,532,1159,333,29.7,26.8
1994,Carlow,597,212,484,113,29.5,26.2
1994,Kildare,2071,790,1696,375,29.9,27.2
1994,Kilkenny,924,303,768,156,30.3,26.6
1994,Laois,688,220,582,106,30.4,27
1994,Longford,368,108,321,47,30.4,26.4
1994,Louth,1189,425,916,273,29.2,25.9
1994,Meath,1391,488,1185,206,30.4,27.3
1994,Offaly,705,208,608,97,29.6,26.5
1994,Westmeath,956,302,786,170,30,26.6
1994,Wexford,1400,429,1109,291,29.5,25.9
1994,Waterford County,653,212,514,139,29.5,26.1
1994,Waterford City,555,188,400,155,29,25.5
1994,Clare,1157,416,957,200,30,26.8
1994,Cork City,1580,593,1093,487,29.1,25.9
1994,Cork County,4021,1341,3496,525,30.7,27.8
1994,Kerry,1506,507,1270,236,30.7,27.7
1994,Limerick City,704,292,455,249,27.8,25
1994,Limerick County,1520,534,1324,196,30.4,27.6
1994,North Tipperary,876,308,710,166,30.1,26.7
1994,South Tipperary,918,321,719,199,29.3,26.2
1994,Tipperary,,,,,,
1994,Galway City,746,299,563,183,30.1,27.4
1994,Leitrim,268,81,245,23,31.4,28.3
1994,Mayo,1311,359,1157,154,31,26.9
1994,Roscommon,518,144,472,46,31.5,27.8
1994,Sligo,729,228,625,104,30.8,27
1994,Galway County,1658,497,1460,198,30.8,27.4
1994,Cavan,698,201,618,80,30.9,27.4
1994,Donegal,1721,572,1437,284,29.6,25.6
1994,Monaghan,599,196,515,84,29.6,26.1
1994,Outside the ROI Total,,,,,,
1995,ROI Total,48787,17760,37925,10862,30,27
1995,Dublin City,6185,2617,3640,2545,28.9,26.3
1995,Fingal,2775,1074,2247,528,30.3,27.8
1995,Dun Laoghaire Rathdown,2592,997,2152,440,31.4,29
1995,South Dublin,3329,1246,2355,974,29.3,26.3
1995,Wicklow,1488,509,1149,339,29.9,27.1
1995,Carlow,548,206,431,117,29.8,26.4
1995,Kildare,2074,758,1670,404,30.3,27.3
1995,Kilkenny,943,306,789,154,30.6,27.3
1995,Laois,692,239,586,106,30.1,26.9
1995,Longford,381,124,316,65,29.9,26.7
1995,Louth,1217,485,881,336,29.1,26.1
1995,Meath,1436,492,1205,231,30.6,27.9
1995,Offaly,808,287,657,151,29.6,26.5
1995,Westmeath,964,345,783,181,29.6,26.6
1995,Wexford,1478,514,1129,349,29.5,25.9
1995,Waterford County,692,267,556,136,29.8,27
1995,Waterford City,584,218,401,183,28.6,25.6
1995,Clare,1171,406,949,222,30.6,27.4
1995,Cork City,1571,624,1057,514,29,25.9
1995,Cork County,4087,1473,3523,564,30.8,28.2
1995,Kerry,1422,506,1174,248,30.2,27.1
1995,Limerick City,712,299,409,303,27.9,24.8
1995,Limerick County,1515,528,1313,202,30.8,28
1995,North Tipperary,770,249,625,145,30.3,26.6
1995,South Tipperary,991,327,783,208,29.7,26.2
1995,Tipperary,,,,,,
1995,Galway City,756,300,574,182,30.1,27.6
1995,Leitrim,299,94,264,35,31.3,27.4
1995,Mayo,1312,350,1164,148,31,27.2
1995,Roscommon,535,174,483,52,31.6,28.3
1995,Sligo,674,239,561,113,30.4,27.6
1995,Galway County,1707,545,1508,199,31.2,28.1
1995,Cavan,720,206,626,94,30.7,27
1995,Donegal,1713,549,1418,295,29.7,25.7
1995,Monaghan,646,207,547,99,30.2,26.5
1995,Outside the ROI Total,,,,,,
1996,ROI Total,50655,19216,37858,12797,30,27
1996,Dublin City,6275,2714,3509,2766,29,26.4
1996,Fingal,2700,1052,2128,572,30.5,28
1996,Dun Laoghaire Rathdown,2680,1084,2159,521,31.4,29.1
1996,South Dublin,3798,1525,2571,1227,29.2,26.4
1996,Wicklow,1520,597,1109,411,29.9,27.1
1996,Carlow,610,232,447,163,29.2,25.5
1996,Kildare,2213,851,1691,522,29.9,27.3
1996,Kilkenny,935,332,777,158,30.6,27.1
1996,Laois,701,241,566,135,29.9,26.3
1996,Longford,402,130,327,75,30.2,27.1
1996,Louth,1292,535,902,390,29.2,26.1
1996,Meath,1510,548,1221,289,30.8,27.4
1996,Offaly,828,301,662,166,29.7,26.3
1996,Westmeath,949,340,749,200,29.4,26.2
1996,Wexford,1517,555,1125,392,29.5,26.3
1996,Waterford County,732,259,561,171,30.1,26.9
1996,Waterford City,630,255,409,221,28.7,25.9
1996,Clare,1222,419,974,248,30.4,27.7
1996,Cork City,1754,695,1149,605,29.2,26
1996,Cork County,4030,1432,3350,680,30.8,28
1996,Kerry,1533,548,1232,301,30.4,27.4
1996,Limerick City,942,389,557,385,28.2,25.2
1996,Limerick County,1512,547,1273,239,30.8,27.8
1996,North Tipperary,814,305,650,164,30.3,26.8
1996,South Tipperary,1007,405,732,275,29.1,26.2
1996,Tipperary,,,,,,
1996,Galway City,720,304,524,196,29.6,27
1996,Leitrim,279,92,234,45,30.9,27.5
1996,Mayo,1396,477,1152,244,30.8,27.7
1996,Roscommon,535,170,463,72,31.2,27.3
1996,Sligo,727,243,599,128,30.8,27.7
1996,Galway County,1800,605,1553,247,31,28
1996,Cavan,695,225,597,98,30.6,27.3
1996,Donegal,1746,591,1372,374,29.5,25.8
1996,Monaghan,651,218,534,117,29.8,26.1
1996,Outside the ROI Total,,,,,,
1997,ROI Total,52775,20208,38626,14149,30.1,27.1
1997,Dublin City,6379,2804,3500,2879,29.1,26.6
1997,Fingal,2769,1135,2118,651,30.4,27.8
1997,Dun Laoghaire Rathdown,2801,1084,2185,616,31.7,29.4
1997,South Dublin,4136,1682,2624,1512,29.1,26.2
1997,Wicklow,1601,595,1164,437,30.1,27.2
1997,Carlow,547,204,408,139,29.5,26
1997,Kildare,2470,954,1858,612,30.1,27.4
1997,Kilkenny,989,344,809,180,30.8,27.5
1997,Laois,752,277,605,147,30.6,27.1
1997,Longford,413,151,343,70,30.4,27.7
1997,Louth,1370,521,946,424,29.5,26.2
1997,Meath,1699,617,1390,309,30.9,28.1
1997,Offaly,839,292,652,187,29.8,26.4
1997,Westmeath,981,363,741,240,29.8,26.3
1997,Wexford,1574,595,1114,460,29.5,26.2
1997,Waterford County,753,302,561,192,30,27.2
1997,Waterford City,603,276,350,253,28.5,25.5
1997,Clare,1311,500,1013,298,30.5,27.9
1997,Cork City,1780,726,1081,699,29.2,26.2
1997,Cork County,4230,1558,3526,704,31,28.2
1997,Kerry,1599,590,1293,306,30.7,27.9
1997,Limerick City,996,404,549,447,28.3,24.5
1997,Limerick County,1487,532,1207,280,30.6,27.5
1997,North Tipperary,911,328,691,220,30.2,26.8
1997,South Tipperary,984,351,743,241,29.8,26.4
1997,Tipperary,,,,,,
1997,Galway City,867,348,598,269,30.2,27.3
1997,Leitrim,282,85,253,29,32.2,29.4
1997,Mayo,1382,447,1148,234,30.9,27.4
1997,Roscommon,554,158,489,65,31.6,28
1997,Sligo,725,240,595,130,31.1,28
1997,Galway County,1752,617,1488,264,30.8,27.9
1997,Cavan,793,258,646,147,30.5,26.6
1997,Donegal,1810,651,1418,392,29.7,26.1
1997,Monaghan,636,219,520,116,30.1,26.8
1997,Outside the ROI Total,,,,,,
1998,ROI Total,53969,21249,38477,15492,30.1,27.1
1998,Dublin City,7023,3215,3764,3259,29.1,26.6
1998,Fingal,2929,1144,2164,765,30.5,27.7
1998,Dun Laoghaire Rathdown,2706,1038,2129,577,31.7,29.2
1998,South Dublin,3874,1649,2479,1395,29,26.3
1998,Wicklow,1682,663,1199,483,30.1,27.3
1998,Carlow,663,270,457,206,29.3,26.3
1998,Kildare,2571,1048,1925,646,30.2,27.2
1998,Kilkenny,1022,382,797,225,30.9,27.8
1998,Laois,761,285,566,195,29.8,26.8
1998,Longford,424,151,326,98,30.2,27
1998,Louth,1427,594,908,519,28.7,25.8
1998,Meath,1693,670,1309,384,30.5,27.5
1998,Offaly,906,332,678,228,29.8,25.9
1998,Westmeath,967,357,743,224,30.2,27.4
1998,Wexford,1638,624,1104,534,29.4,26
1998,Waterford County,717,263,526,191,30.4,26.7
1998,Waterford City,638,276,374,264,28.3,24.9
1998,Clare,1309,497,974,335,30.4,27.7
1998,Cork City,1805,732,1082,723,29.2,26
1998,Cork County,4416,1695,3588,828,31,28.3
1998,Kerry,1586,613,1218,368,30.6,27.5
1998,Limerick City,938,391,516,422,28.6,25.4
1998,Limerick County,1590,555,1292,298,31.1,28
1998,North Tipperary,838,304,623,215,30.4,27.1
1998,South Tipperary,941,355,671,270,29.9,27.1
1998,Tipperary,,,,,,
1998,Galway City,793,315,558,235,30.6,27.8
1998,Leitrim,284,97,234,50,30.7,27.4
1998,Mayo,1408,482,1134,274,30.7,27.6
1998,Roscommon,560,203,466,94,31.2,28
1998,Sligo,773,277,594,179,30.9,27.7
1998,Galway County,1920,685,1594,326,31.2,28.3
1998,Cavan,729,234,603,126,30.8,27.2
1998,Donegal,1781,633,1364,417,29.5,26.1
1998,Monaghan,657,220,518,139,30.1,26.6
1998,Outside the ROI Total,,,,,,
1999,ROI Total,53924,21825,37134,16790,30.1,27.2
1999,Dublin City,6622,3109,3447,3175,29.2,26.8
1999,Fingal,3224,1421,2220,1004,30.2,27.7
1999,Dun Laoghaire Rathdown,2597,1029,1969,628,31.8,29.1
1999,South Dublin,3845,1708,2302,1543,29,26.3
1999,Wicklow,1783,750,1207,576,30.2,27.6
1999,Carlow,620,259,416,204,29.4,26.3
1999,Kildare,2570,1055,1912,658,30.1,27.7
1999,Kilkenny,983,362,725,258,30.6,27.4
1999,Laois,769,285,567,202,30,27.1
1999,Longford,420,141,312,108,30.1,26.4
1999,Louth,1471,606,896,575,29.1,26.2
1999,Meath,1816,721,1385,431,30.7,27.7
1999,Offaly,849,288,610,239,29.9,26.3
1999,Westmeath,1086,406,757,329,29.9,26.6
1999,Wexford,1707,709,1128,579,29.2,26.1
1999,Waterford County,838,302,606,232,30.5,27.3
1999,Waterford City,551,231,308,243,28.9,25.7
1999,Clare,1471,555,1079,392,30.5,27.6
1999,Cork City,1579,688,902,677,29.3,26.3
1999,Cork County,4303,1627,3436,867,31,28.3
1999,Kerry,1566,616,1151,415,30.5,27.3
1999,Limerick City,726,325,374,352,28.4,25.6
1999,Limerick County,1702,627,1284,418,30.4,27.3
1999,North Tipperary,822,309,612,210,30.5,27.6
1999,South Tipperary,1044,393,699,345,29.7,26.4
1999,Tipperary,,,,,,
1999,Galway City,732,327,480,252,30,27.5
1999,Leitrim,307,107,251,56,31.2,28.4
1999,Mayo,1410,495,1109,301,31.1,27.9
1999,Roscommon,526,188,420,106,31.1,27.6
1999,Sligo,717,267,545,172,30.6,27.8
1999,Galway County,1940,712,1544,396,31,28.2
1999,Cavan,781,271,594,187,30.2,26.9
1999,Donegal,1857,689,1372,485,29.7,26.2
1999,Monaghan,690,247,515,175,30.2,26.8
1999,Outside the ROI Total,,,,,,
2000,ROI Total,54789,22121,37523,17266,30.2,27.4
2000,Dublin City,6919,3151,3668,3251,29.3,26.8
2000,Fingal,2915,1223,2084,831,30.5,28
2000,Dun Laoghaire Rathdown,2583,1007,1940,643,31.8,29.2
2000,South Dublin,3975,1709,2392,1583,29.2,26.4
2000,Wicklow,1824,754,1250,574,30.3,27.6
2000,Carlow,706,296,451,255,29.5,26.5
2000,Kildare,2881,1182,2096,785,30.5,28.1
2000,Kilkenny,1047,410,784,263,30.8,27.7
2000,Laois,782,300,552,230,30,26.7
2000,Longford,441,155,320,121,30.3,26.6
2000,Louth,1535,638,983,552,29.2,26.3
2000,Meath,1921,731,1483,438,31.2,28.4
2000,Offaly,815,314,577,238,29.8,26.4
2000,Westmeath,1117,407,774,343,30,26.9
2000,Wexford,1616,622,1026,590,29.5,26
2000,Waterford County,788,324,548,240,30.7,27.7
